GEMCITABINE,train
MOMETASONE,train
VINORELBINE,train
DEFEROXAMINE,train
SORBITOL,train
PERAMIVIR,train
METHYLERGONOVINE,train
TEMOZOLOMIDE,train
TERFENADINE,train
ACETYLCYSTEINE,train
QUININE,train
CYAMEMAZINE,train
TIGECYCLINE,train
TEMAZEPAM,train
FLUDROCORTISONE,train
GLYCYRRHIZIN,train
ISOSORBIDE DINITRATE,train
AMISULPRIDE,train
KANAMYCIN,train
EDARAVONE,train
TICRYNAFEN,train
PIPOBROMAN,train
TOPIRAMATE,train
DIHYDROERGOTAMINE,train
CEFAZOLIN,train
EXEMESTANE,train
PRAZIQUANTEL,train
AMSACRINE,train
HYDROXYCHLOROQUINE,train
RASAGILINE,train
MANNITOL,train
OXYQUINOLINE,train
MIRTAZAPINE,train
SARPOGRELATE,train
BUMETANIDE,train
DEMECLOCYCLINE,train
CHLOROQUINE,train
AMPICILLIN,train
BENDAMUSTINE,train
AZLOCILLIN,train
HYDROXYUREA,train
FLUPHENAZINE,train
NIALAMIDE,train
DELAVIRDINE,train
HYDROCODONE,train
BISACODYL,train
ZIDOVUDINE,train
METHYLDOPA,train
TOPOTECAN,train
ALPIDEM,train
BENIDIPINE,train
PRAVASTATIN,train
DIRITHROMYCIN,train
CILASTATIN,train
TRAZODONE,train
TEMOCAPRIL,train
BISOPROLOL,train
ATROPINE,train
CLOFIBRATE,train
LACTOSE,train
METOCLOPRAMIDE,train
PERFLUTREN,train
PREDNISOLONE,train
VERAPAMIL,train
ALISKIREN,train
SULFAMETHIZOLE,train
METAXALONE,train
IMIPRAMINE,train
TRANDOLAPRIL,train
FAMCICLOVIR,train
MINOCYCLINE,train
METICILLIN,train
MARAVIROC,train
CHLORAMBUCIL,train
SCOPOLAMINE,train
THIAMINE,train
MERCAPTOPURINE,train
ZILEUTON,train
NARATRIPTAN,train
SODIUM POLYSTYRENE SULFONATE,train
APOMORPHINE,train
AZACITIDINE,train
DIETHYLCARBAMAZINE,train
PROCAINAMIDE,train
NICORANDIL,train
TELAPREVIR,train
DICLOXACILLIN,train
RIVASTIGMINE,train
ACEBUTOLOL,train
ESTAZOLAM,train
ERYTHROMYCIN,train
GLAFENINE,train
STREPTOMYCIN,train
BITOLTEROL,train
ZOLPIDEM,train
PHYTONADIONE,train
MEMANTINE,train
NORFLOXACIN,train
PYRIDOXAL PHOSPHATE,train
MEPROBAMATE,train
SOTALOL,train
ADEFOVIR,train
GRISEOFULVIN,train
CILNIDIPINE,train
RIFAXIMIN,train
ERIBULIN MESYLATE,train
OLOPATADINE,train
ZOLMITRIPTAN,train
NABUMETONE,train
RAMELTEON,train
SULFASALAZINE,train
AMITRIPTYLINE,train
TOCAINIDE,train
BACLOFEN,train
ANDROSTANOLONE,train
DANAZOL,train
CODEINE,train
ALLOPURINOL,train
EXIFONE,train
GLYCEROL,train
ETHYNODIOL DIACETATE,train
BENAZEPRIL,train
LAMOTRIGINE,train
ALATROFLOXACIN MESYLATE,train
ARBEKACIN,train
BENDROFLUMETHIAZIDE,train
BUTOCONAZOLE,train
ALMOTRIPTAN,train
ESTRIOL,train
PROBENECID,train
ETHIONAMIDE,train
BENZONATATE,train
CLOXACILLIN,train
THIOCOLCHICOSIDE,train
NIMESULIDE,train
LUBIPROSTONE,train
DEXTROSE,train
BROMAZEPAM,train
BETAHISTINE,train
TAZOBACTAM,train
CHLORPROPAMIDE,train
ALTRETAMINE,train
DECITABINE,train
EVEROLIMUS,train
IDOXURIDINE,train
OXYPHENISATIN,train
SALMETEROL,train
CELIPROLOL,train
AMINOCAPROIC ACID,train
PHENYLBUTAZONE,train
GEMIFLOXACIN,train
CAPTOPRIL,train
MORPHINE,train
HYCANTHONE,train
CARBOPROST TROMETHAMINE,train
ZOPICLONE,train
IBUFENAC,train
LOXAPINE,train
MIZORIBINE,train
CEFDITOREN,train
MECAMYLAMINE,train
GRANISETRON,train
TIOTROPIUM,train
BEPRIDIL,train
FAMOTIDINE,train
CABAZITAXEL,train
OXAZEPAM,train
DULOXETINE,train
TRIPELENNAMINE,train
ONDANSETRON,train
L-CARNITINE,train
ARTEMETHER,train
PIOGLITAZONE,train
TRIAZOLAM,train
POSACONAZOLE,train
DIDANOSINE,train
AMIODARONE,train
TENOXICAM,train
PENICILLAMINE,train
TETRACYCLINE,train
PSEUDOEPHEDRINE,train
OXYMETHOLONE,train
ESTRADIOL,train
TRIMEBUTINE,train
RIFAMPIN,train
ADENOSINE,train
ARGATROBAN,train
METYRAPONE,train
VENLAFAXINE,train
OXYTETRACYCLINE,train
FENOLDOPAM,train
OXAPROZIN,train
BROMHEXINE,train
PERHEXILINE,train
PYRANTEL,train
RIFAPENTINE,train
SIMVASTATIN,train
PHENTERMINE,train
MODAFINIL,train
TELMISARTAN,train
DIETHYLPROPION,train
FLUOROURACIL,train
CEPHALEXIN,train
PANCURONIUM,train
PRASUGREL HYDROCHLORIDE,train
SOLIFENACIN,train
CETIRIZINE,train
TETRAZEPAM,train
DOFETILIDE,train
DARIFENACIN,train
LEVOMEPROMAZINE,train
SERTRALINE,train
AZATHIOPRINE,train
RISPERIDONE,train
LACTULOSE,train
DROXIDOPA,train
NORGESTREL,train
RIVAROXABAN,train
ANILERIDINE,train
CHLORMADINONE,train
VALDECOXIB,train
XYLOMETAZOLINE,train
QUINIDINE,train
SPARFLOXACIN,train
MITOXANTRONE,train
CLOMETACIN,train
GUAIFENESIN,train
NIMODIPINE,train
BECLOMETHASONE,train
RISEDRONATE,train
AMILORIDE,train
TOLTERODINE,train
DOMPERIDONE,train
BROMFENAC,train
CEFIXIME,train
THALIDOMIDE,train
AMOXAPINE,train
ISAXONINE,train
COBICISTAT,train
TRABECTEDIN,train
FLECAINIDE,train
GABAPENTIN ENACARBIL,train
QUETIAPINE,train
CITICOLINE,train
ISONIAZID,train
ETIDRONIC ACID,train
GLUCOSAMINE,train
CARVEDILOL,train
ISOSORBIDE,train
OLANZAPINE,train
FLUCONAZOLE,train
CROMOGLICATE,train
ZIMELIDINE,train
HEXACHLOROPHENE,train
PHENTOLAMINE,train
NABILONE,train
PROPRANOLOL,train
LEFLUNOMIDE,train
TELBIVUDINE,train
TRIFLUOPERAZINE,train
EPROSARTAN,train
ISOXSUPRINE,train
MINOXIDIL,train
MEFENAMIC ACID,train
THEOBROMINE,train
CLADRIBINE,train
AMIKACIN,train
PIMOZIDE,train
FESOTERODINE,train
FOSCARNET,train
DOXAZOSIN,train
LINDANE,train
DILTIAZEM,train
RIBOFLAVIN,train
PENTAMIDINE,train
SULCOTIDIL,train
HALOPERIDOL,train
ZAFIRLUKAST,train
IRINOTECAN,train
CEFAMANDOLE,train
PIROXICAM,train
SIROLIMUS,train
PHENELZINE,train
GABAPENTIN,train
TRIACETYLDIPHENOLISATIN,train
ARTESUNATE,train
KETOTIFEN,train
ASPIRIN,train
SITAXSENTAN,train
PRAZOSIN,train
PROPYLTHIOURACIL,train
TRANILAST,train
INDAPAMIDE,train
ALENDRONATE,train
